County,Parent Agency ID,Partner Agency Program No.,Partner Agency Name,c_Address,c_City,c_Post_Code,c_Delivery_Info,Partner Agency Type,FoodFinder-Table1.sl_phone
WILSON,G1123,G1123FP,Wilson County Interfaith,309 Goldsboro St,Wilson,27893,"M, W, F 9-11:30 curbside only",FOODPANTRY,252-291-7278
WILSON,G1123,G1123MFP,Wilson County Interfaith,311 Nash St W,Wilson,27893,Every 3rd Thursday at 9a-11:30a,DIRECT DST,252-291-7278
WILSON,G1123,G1123SH,Wilson County Interfaith,309 Goldsboro St,Wilson,27893,24 hrs,SHELTER,252-291-7278
PITT,G1124,G1124FP,Word of Truth,7227 Stantonsburg Rd,Farmville,27828,Fridays 1pm-6pm (Except 5th Fridays),FOODPANTRY,252-341-9949
LENOIR,G1126,G1126FP,You Need Help Outreach,109 W Rail Road Rd,LaGrange,28551,Wednesdays from 10-11am,FOODPANTRY,
LENOIR,G1126,G1126MFP,You Need Help Ministry,109 W Rail Road Rd,LaGrange,28551,Wednesdays from 10-11am,DIRECT DST,919-591-1968
PITT,G1219,G1219FP,Spirit & Truth Worship Center,1512 N Greene St,Greenville,27834,Sundays from 1:30-3p,FOODPANTRY,252-367-9081
WILSON,G1225,G1225FP,Love N Action Outreach Inc.,4036 Ward Blvd,Wilson,27893,"4th Tuesday, 10 am- 12 pm, Monday after 4th Tuesday at 10am",FOODPANTRY,252-406-2872
PITT,G1233,G1233FP,Zion Chapel Food Pantry,377 Planters St,Ayden,28513,Every Wednesday 10a-12p,FOODPANTRY,252-253-8229
EDGECOMBE,G1237,G1237FP,House of Resurrection,102 S King St,Whitakers,27891,"Monday, Wednesday 1-3pm; Wednesday evenings 5-6pm",FOODPANTRY,252-822-2442
PITT,G1245,G1245FP3,MrCharity Inc. DBA Beast Philanthropy,811 Howell St,Greenville,27834,every other Thursday 3:30pm,FOODPANTRY,
PITT,G1245,G1245FP4,MrCharity Inc. DBA Beast Philanthropy,4839 School Rd,Grimesland,27837,every other Saturday 11:00am-12:00pm,FOODPANTRY,
WILSON,G1246,G1246FP,Rhema Word Christian Center/Wilson,1503 Black Creek Rd,Wilson,27893,Every Tuesday 4-6pm,FOODPANTRY,252-674-1593
PITT,G1247,G1247FP,Last Days Tabernacle,504 C Dexter St,Greenville,27834,Thursdays 12pm-2pm,FOODPANTRY,252-917-4050
PITT,G1249,G1249FP,Triumph Missionary Baptist Church,7874 US Highway 264 E,Washington,27889,1st Wed/3rd Sat 10:00am-11:15am,FOODPANTRY,252-947-0225
PITT,G1252,G1252FP,Cornerstone Missionary Baptist Church,1095 Allen Rd,Greenville,27834,2nd Tuesday 3pm-6:30pm 4th Saturday 10am-2pm,FOODPANTRY,
LENOIR,G1253,G1253FP,Macedonia Church of Lenoir County,648 Albrittons Rd,Kinston,28504,"1st Saturday, 3rd Wednesday 10AM-12PM",FOODPANTRY,252-527-0896
PITT,G1254,G1254FP,Greater Judah Corporation,2047 S Park Dr Ste C,Winterville,28590,1st/3rd Tuesdays 12pm-2pm,FOODPANTRY,
WILSON,G1259,G1259FP,NC Seeds of Love,1100 Downing St,Wilson,27893,2nd Monday at 8am; 4th Monday at 11am,FOODPANTRY,919-920-9961
WILSON,G1260,G1260FP,Wilson Chapel Free Will Baptist Church,513 Barnes St S,Wilson,27893,3rd Saturdays 12pm-2pm,FOODPANTRY,252-289-6479
PITT,G1261,G1261FP,First Christian Church,3776 S. Main St,Farmville,27828,"Deliveries to senior center on Thursdays, weekly MOW grocery delivery",FOODPANTRY,
ONSLOW,N1001,N1001FP,Abundant Life International,1518 Gum Branch Rd,Jacksonville,28540,"3rd&1st Friday at 1pm. Pantry is open for walkins on Tuesday 10-12, 2nd and 4th Sat 10-12",FOODPANTRY,910-455-3888 (public)
CRAVEN,N1002,N1002FP,Abundant Life Miracle Center,1901 Garden St,New Bern,28560,2nd Tuesday 11am,FOODPANTRY,(252) 633-3376
CRAVEN,N1002,N1002MFP,Abundant Life Miracle Center,1901 Garden St,New Bern,28560,2nd Tuesday 11am,DIRECT DST,(252) 633-3376
CRAVEN,N1004,N1004FP,Adelphia CDC Inc - Piney Grove AME Zion Church,1430 Temples Point Rd,Havelock,28532,1st & 3rd Wednesday @ 12pm,FOODPANTRY,252-447-1600
CRAVEN,N1004,N1004FP2,Adelphia CDC Inc - Midway Park,801 Freedom Way,Hubert,28539,"Food distribution is held on the 1st and 3rd Thursday of each month, beginning at 9 AM, and continues until supplies run out.",FOODPANTRY,910-238-2389
PAMLICO,N1004,N1004MFP2,Adelphia CDC Inc - St Mark,511 Water Rd,Bayboro,28515,"Food distribution is held on the 4th Tuesday of each month, beginning at 10:30 AM, and continues until supplies run out.",DIRECT DST,910-238-2389
CRAVEN,N1004,N1004MPF3,Adelphia CDC Inc - Wesley Chapel,1696 Tuscarora Rd,New Bern,28561,"Food distribution is held on the 4th Tuesday of each month, beginning at 1:00 PM, and continues until supplies run out.",DIRECT DST,910-238-2389
CRAVEN,N1006,N1006FP,Antioch Community Outreach Inc,762 Antioch Rd,New Bern,28560,2nd Wednesday from 3pm-6pm/Emergency as needed 252-514-1567,FOODPANTRY,252-617-9064
CRAVEN,N1011,N1011FP,Word of God Christian Center,3650 Neuse Blvd,New Bern,28560,1st and 3rd Saturday at 9am,FOODPANTRY,252-638-3474
CARTERET,N1014,N1014FP,Calvary Baptist Church,1700 Live Oak St,Beaufort,28516,Monday 10am-2pm,FOODPANTRY,252-504-0123/252-838-9035
CARTERET,N1014,N1014MFP,Calvary Baptist Church,1219 Island Rd,Harkers Island,28531,4th Thursday at 1pm,DIRECT DST,252-504-0123/252-838-9035
ONSLOW,N1024,N1024MFP,First United Methodist Church,305 Lake Side Dr,Sneads Ferry,28460,"3rd Monday, 10AM",DIRECT DST,
ONSLOW,N1026,N1026FP,Folkstone Original Free Will,133 Old Folkstone Rd,Holly Ridge,28445,Monday & Wednesday (Weekly) 10AM-11AM,FOODPANTRY,910-358-7510
CARTERET,N1030,N1030FP,God's City of Refuge Inc,953 Hibbs Rd,Newport,28570,Second and Fourth Thursdays of the month from 10-12 noon,FOODPANTRY,252-726-8424
CRAVEN,N1031,N1031FP,Havelock Cherry Point,925 E Main St Ste 20,Havelock,28532,"Monday, Tues, Wed, and Friday from 10a-12p and 1p-2p",FOODPANTRY,252-447-5190
ONSLOW,N1034,N1034FP,Iglesia de Dios Pentecostal,1042 Country Club Rd,Jacksonville,28546,Thursday 9-11,FOODPANTRY,910-526-1202
ONSLOW,N1038,N1038FP,JT Kerr Memorial Baptist,150 LP Willingham Pkwy,Jacksonville,28540,Tuesday & Saturday 9AM-1PM,FOODPANTRY,
CARTERET,N1040,N1040FP,Lighthouse Community Church,2015 US Hwy 70 E,Stacy,28581,2nd and 4th Saturday of each month  10:00 am - 12:00 pm,FOODPANTRY,252-241-8687
CARTERET,N1040,N1040MFP,Lighthouse Community Church,146 School Dr,Atlantic,28511,1st Tuesday 10AM -12PM,DIRECT DST,252-225-7702
CRAVEN,N1041,N1041FP,Living Bread Holiness Church,1116 Glenburnie Rd,New Bern,28561,"Tuesday, Thursday & Friday 12PM-4PM & Saturday 10AM-2PM",FOODPANTRY,252-671-2547
CRAVEN,N1041,N1041MFP,Living Bread Holiness Church,1116 Glenburnie Rd,New Bern,28561,1st Friday at 10AM,DIRECT DST,252-671-2547
CARTERET,N1044,N1044FP,Martha's Mission Cupboard,901 Bay St,Morehead City,28557,"M, W, F 10:30a-3:00p",FOODPANTRY,252-726-1717
JONES,N1045,N1045MFP,Maysville Methodist Church,804 Foy Ave,Maysville,28555,3rd Monday at 9AM,DIRECT DST,910-333-0453
ONSLOW,N1047,N1047FP,"Mt Carmel Helps, Inc",2734 Commerce Rd,Jacksonville,28540,Monday-Sunday 10AM-7PM,FOODPANTRY,910-265-2609
CRAVEN,N1050,N1050FP,Bear Paws Food Pantry,4200 Academic Dr,New Bern,28562,"M-F, 8am-3pm. Students/families of NBHS ONLY",FOODPANTRY,252-514-6041
JONES,N1053,N1053MFP,New Hope Community Outreach,504 Main St,Maysville,28555,Every 2nd Thursday at 9am,DIRECT DST,910-581-9390
ONSLOW,N1056,N1056FP,Onslow Community Outreach,1210 Hargett St,Jacksonville,28540,"Thursday (weekly) - Lines begins around 7AM, distribution begins aat 9:30AM/10AM",FOODPANTRY,910-455-5733
ONSLOW,N1056,N1056MFP,Onslow Community Outreach,1210 Hargett St,Jacksonville,28540,"2nd & 4th Monday - Line begins around 7AM, distribution starts 9:30AM/10AM (Drive-Up)",DIRECT DST,910-455-5733
ONSLOW,N1056,N1056SH,Onslow Community Outreach,1210 Hargett St,Jacksonville,28540,Shelter intake by appointment only. Call 910-238-4025 ,SHELTER,910-455-5733
ONSLOW,N1056,N1056SK,Onslow Community Outreach,1210 Hargett St,Jacksonville,28540,M-F 11am-12pm,SOUP KITCH,910-455-5733
ONSLOW,N1058,N1058FP,Open Door Management Inc,1675 Halltown Rd,Jacksonville,28546,"Thursday 9-12, second Friday 9-12 (TEFAP)",FOODPANTRY,910-938-3855 ext.10
ONSLOW,N1058,N1058MFP,Open Door Management Inc,1675 Halltown Rd,Jacksonville,28546,Every 2nd Friday at 9a,DIRECT DST,910-577-4175
PAMLICO,N1059,N1059FP,Pamlico County Fishes & Loaves,108 Straight Rd,Oriental,28571,"1st Friday 5:30pm-7pm | 1st, 2nd & 3rd Tuesday and Thursday 11am-1pm",FOODPANTRY,252-249-6181
PAMLICO,N1059,N1059MFP,Pamlico County Fishes & Loaves,1149 White Farm Rd,Oriental,28571,1st Wednesday at 9:30AM,DIRECT DST,252-249-6181
PAMLICO,N1062,N1062FP,Reelsboro United Christian Services,51 Holland Dr,New Bern,28560,2nd Wed 10-12,FOODPANTRY,(252) 745-3266
CRAVEN,N1063,N1063FP,Religious Community Services,919 George St,New Bern,28560,Monday to Friday 9AM-4PM - By appointment for Clients served within the last 3 months - walk-ins available for new clients or those not served within the last 3 months,FOODPANTRY,
CRAVEN,N1063,N1063MFP,Religious Community Services,114 Trade Ave,Havelock,28532,1st Wednesday 5:30pm-7:30pm,DIRECT DST,
PAMLICO,N1063,N1063MFP2,Religious Community Services,313 Main St ,Bayboro,28515,3rd Wednesday 5:30pm-7:30pm,DIRECT DST,
CRAVEN,N1063,N1063SH,Religious Community Services -Shelter,919 George St,New Bern,28560,M-Sun 3pm-7am,SHELTER,
CRAVEN,N1063,N1063SK,Religious Community Services,919 George St,New Bern,28560,Lunch served Mondays to Saturdays from 10:30AM to 11:45AM | Breakfast served Sundays at 9AM,SOUP KITCH,
ONSLOW,N1064,N1064FP,Richlands Community Outreach,8701 Richlands Hwy,Richlands,28574,"M, T, Th, F 10a-2p; Sat 9a-3p",FOODPANTRY,910-324-6586
ONSLOW,N1064,N1064MFP,Richlands Community Outreach,9103 Richlands Hwy,Richlands,28574,Every 1st Monday at 11a,DIRECT DST,910-324-6586
CARTERET,N1065,N1065FP,Salvation Army Carteret Co,2800 Bridges St,Morehead City,28557,Monday through Friday from 9a-5p,FOODPANTRY,252-726-7147
ONSLOW,N1067,N1067FP1,Salvation Army-Jacksonville,461 Center St,Jacksonville,28546,Monday - Friday 1PM to 3PM,FOODPANTRY,910-333-0453
ONSLOW,N1067,N1067MFP,Salvation Army-Jacksonville,121 Stillwood Dr,Jacksonville,28540,"4th Wednesday at 9am, distribution after",DIRECT DST,910-333-0453
ONSLOW,N1067,N1067MFP2,Salvation Army-Jacksonville,1310 Hargett St,Jacksonville,28540,2nd Tuesday at 10AM,DIRECT DST,910-333-0453
JONES,N1068,N1068FP,Salvation Army-Maysville,804 Foy Ave,Maysville,28555,3rd Monday at 9am,DIRECT DST,910-743-0126
CRAVEN,N1069,N1069FP,Salvation Army-New Bern,1402 Rhem Ave,New Bern,28560,Tuesday & Wednesday 1PM to 3pm - First come first serve - valid ID required. ,FOODPANTRY,252-637-2277
CARTERET,N1074,N1074FP,Saint James Methodist Church,1007 Orange St,Newport,28570,"Monday and Thursday from 9-11, 1007 Orange St, Newport",FOODPANTRY,
CARTERET,N1074,N1074MFP,Saint James Methodist Church,801 Mann St ,Newport,28570,3rd Friday at 1PM,DIRECT DST,252-223-4727
CRAVEN,N1076,N1076FP,Tabernacle Baptist Church,616 Broad St,New Bern,28560,Monday 2pm,FOODPANTRY,404-915-1148
CRAVEN,N1077,N1077FP,Feed Craven,3317 US Hwy 70 E,New Bern,28560,2nd & 4th Friday Registration 5PM-6PM Food Distribution at 7PM ,FOODPANTRY,252-349-0787
CARTERET,N1078,N1078FP,The Storehouse Pantry,3114 Bridges St,Morehead City,28557,"Monday, Tuesday & Wednesday 10AM-1PM - Other days by appointment, Call 252-725-5539",FOODPANTRY,252-725-5539
CRAVEN,N1083,N1083FP,Vanceboro Christian Help Center,411 White St,Vanceboro,28586,"Every Monday, Wednesday & Friday from 8-12:30",FOODPANTRY,252-244-1141
CARTERET,N1084,N1084FP,Wildwood Presbyterian Church,276 Wildwood Rd,Newport,28570,Thursday 8:30AM to 9:30AM,FOODPANTRY,252-726-9118
JONES,N1093,N1093FP,The Filling Station,221 Main St,Pollocksville,28573,"Tuesdays and Thursdays, 9am-1pm",FOODPANTRY,252-224-1127
JONES,N1098,N1098FP,Jones County Community Hope,432 1st Ave,Trenton,28585,Wednesday at 4PM – Drive-Thru,FOODPANTRY,252-670-7093
CRAVEN,N1101,N1101SK,The Gathering Place,114 Trader Ave,Havelock,28532,Free hot meals served Thursday weekly 11:30am-1pm,SOUP KITCH,252-515-1080
JOHNSTON,R1001,R1001FP,A Touch From Above Faith,654 Main St,Wilson Mills,27593,"1st & 3rd Tuesday 6pm-7pm, Saturdays for Emergency call ins",FOODPANTRY,919-938-0073
NASH,R1002,R1002FP,A Touch of the Father's Love Inc,5193 Momeyer Way,Nashville,27856,Monday Wednesday Friday 9am-12pm,FOODPANTRY,252-377-2209
NASH,R1003,R1003FP,Abundant Life Ministries,734 Falls Rd,Rocky Mount,27804,2nd Saturday 7:30am-9:30am and by emergency,FOODPANTRY,252-452-1317
WAKE,R1010,R1010FP,Alliance of AIDS Services,3109 Poplarwood Ct Ste 200,Raleigh,27604,"TWTh by appointment, Fridays Walk-ins accepted 10:00 am - 12:00 pm",FOODPANTRY,919-834-2437
EDGECOMBE,R1011OTH2,R1011OTH2,An Elegant Affair,101 S Tarboro St Ste 513,Rocky Mount,27801,Every Saturday all day by appointment,OTHER FP,704-750-5227
HARNETT,R1012,R1012FP,Angier Area Food Pantry,455 W Depot St,Angier,27501,Tues & Thurs 10:30-11:30,FOODPANTRY,919-438-3313
NASH,R1014,R1014FP,Apostolic Faith Church,300 Cedar St,Rocky Mount,27803,Every Monday Wednesday 11am-11:45am,FOODPANTRY,252-977-6200
WILSON,R1020,R1020FP,Family Food Basket,6321 Old Raleigh Rd,Sims,27880,Tues & Thur 10am-2pm,FOODPANTRY,252-674-0093
WAKE,R1021,R1021FP,Baptist Grove,7109 Leesville Rd,Raleigh,27613,2nd & 4th Saturday 10:00 am - 11:00 am,FOODPANTRY,919-787-4528
JOHNSTON,R1024,R1024FP,Benson Area Ministerial,1204 N Johnson St,Benson,27504,1st & 3rd Wed 9-11,FOODPANTRY,919-880-2167
WAKE,R1026,R1026FP,Bethlehem Baptist Church,7215 Six Forks Rd,Raleigh,27615,Tues & Thurs 11:00 am - 2:00 pm,FOODPANTRY,919-847-5219
WAYNE,R1029,R1029FP,Blood of the Lamb Church,1100 The First Church Rd,Goldsboro,27534,Sundays and 4th Tuesdays 8:30-11am ,FOODPANTRY,919-736-7536
LEE,R1032,R1032SK,Bread Basket/Sanford Soup,140 E Chisholm St,Sanford,27331,M-F/11a-12:30p,SOUP KITCH,919-774-3118
LEE,R1033,R1033FP,Bread of Life Ministries,219 Maple Ave,Sanford,27330,"Thurs 12-4, Emergency Tues 10-12, Sat 11-12",FOODPANTRY,919-427-8889
JOHNSTON,R1037,R1037FP,Building 323,73 Wilder Rd,Middlesex,27557,Every Monday 5:00-6:30pm,FOODPANTRY,919-269-9207
WILSON,R1039,R1039FP,By Faith Church,4667 Evansdale Rd,Wilson,27893,2nd Friday 10:30am-12pm and by emergency,FOODPANTRY,252-205-5965
WAKE,R1041,R1041FP,Capital Pentacostal Church,1308 US-70,Garner,27529,"T, TH 9-12",FOODPANTRY,919-772-5919
FRANKLIN,R1044,R1044FP,"Care and Share, Inc.",110 Industrial Dr,Louisburg,27549,"Wed 8:30-12; Emergency, call 919-496-5721 for appt.8-5",FOODPANTRY,919-496-5721
WAKE,R1048,R1048FP,Catholic Parish Outreach,2013 N Raleigh Blvd,Raleigh,27604, M/W/Th/F/Sa 9 am – 12 pm,FOODPANTRY,919-873-0245
JOHNSTON,R1056,R1056FP,Christ Community United,1082 Amelia Church Rd,Clayton,27520,Every 2nd Saturday 9am-12pm,FOODPANTRY,919-553-9770
LEE,R1058,R1058FP,Christian Faith Ministries,3110 Cameron Dr,Sanford,27330,Tuesdays 9am by appointment call agency for appointment,FOODPANTRY,919-775-1311 church
LEE,R1060,R1060FP,Christians United Outreach Center of Lee County,2885 Lee Ave,Sanford,27330,M 4:00p-6:00p W&F 12:00p-2p,FOODPANTRY,919-774-8485
WAKE,R1061,R1061FP,Church of God of Prophecy,5005 Western Blvd,Raleigh,27606,Fridays 10:00 am -1:30 pm,FOODPANTRY,919-851-8507
WAKE,R1062,R1062FP,Church of God-Sermon del Monte,6105 Fayetteville Rd,Raleigh,27603,"Tuesday 6:30- 7:30 pm, 2nd Saturday 8 am- 11 am",FOODPANTRY,919-995-1270
JOHNSTON,R1066,R1066FP,Clayton Area Ministries,780 Durham St,Clayton,27520,Mon-Fri 1pm-3pm,FOODPANTRY,919-553-5654
SAMPSON,R1068,R1068DD,Clinton (St. Stephens Church),207 W Lee St,Clinton,28328,1st and 3rd Thursday 9-11:30am,DIRECT DST,910-385-5646
WAKE,R1073,R1073FP,Community Helpers Service,111-B N First Ave,Knightdale,27545,"M-T-F: 10:00 am - 12:00 pm,  W & F: 8:00 am - 12:00 PM",FOODPANTRY,919-266-4050
WAKE,R1074,R1074FP,Community of Hope Ministries,601 St Mary's St,Garner,27529,"Tuesday & Thurs 11:00 -12:00 pm, 3rd Thursday 6pm -7pm",FOODPANTRY,919-779-6679 Ext 230
WAKE,R1075,R1075FP,Comunidad Cristiana Hosanna,204 Shelden Dr,Raleigh,27610,"1st and 3rd Friday, 10 am ; Every Wednesday, 10 am- 12 pm",FOODPANTRY,732-309-4982
HALIFAX,R1076,R1076FP,Concerned Citizens Of Tillery,321 Community Center Rd,Tillery,27887,Every Tues 11:30am-12:30pm,FOODPANTRY,252-826-3017
WAKE,R1078,R1078FP,Covenant Life Church,555 SW Maynard Rd,Cary,27511,"Tuesday, Wednesday, and Thursday  4pm-5:45pm",FOODPANTRY,919-615-1122
WAKE,R1079,R1079FP,Crabtree Valley Baptist Church,4408 Lead Mine Rd,Raleigh,27622,Wednesday 9am - 12pm,FOODPANTRY,919-781-5345
WAKE,R1103,R1103FP,Dorcas Ministries,187 High House Rd,Cary,27511,Mon-Sati 9 am-3pm,FOODPANTRY,919-469-9861
DUPLIN,R1107,R1107FB5,"Duplin Christian Outreach, Faith by Grace",2635 S NC Hwy 11,Rose Hill,28466,1st and 3rd Friday's 11am-12pm,FOODPANTRY,
DUPLIN,R1107,R1107FP1,Duplin Christian Outreach - Helping Hands,205 W Main St,Wallace,28466,Tuesdays and Thursdays 9am-12:00pm,FOODPANTRY,910-285-6000
DUPLIN,R1107,R1107FP3,Duplin Christian Outreach,314 E Church St,Rose Hill,28548,1st Tuesday and 3rd Tuesday noon-1pm,FOODPANTRY,910-289-2449
DUPLIN,R1107,R1107FP6,Duplin Christian Outreach Ministries- Snow Hill,1224 Red Hill Rd,Mt. Olive,28366,2nd & 4th Saturday's monthly 9-10am,FOODPANTRY,
DUPLIN,R1109,R1109FP,East Duplin Christian Outreach,111 S Old Chinquapin Rd,Beulaville,28518,Monday and Friday's 10am-4pm & Tuesdays 12pm-4pm,FOODPANTRY,917 533 0575
JOHNSTON,R1114,R1114FP1,Edgerton Memorial UMC,401 W Anderson St,Selma,27576,Thursdays 8:30am-11:00am,FOODPANTRY,919-965-3761
WAKE,R1117,R1117FP,Emmanuel Hispanic Pentecostal,4119 Rock Quarry Rd,Raleigh,27610,3rd  Fridays 9am-12pm,FOODPANTRY,919-523-4167
WAKE,R1122,R1122FP,Faith Missionary Baptist,908 Suffolk Blvd,Raleigh,27603,1st & 3rd Wed 10:30-12:00 pm,FOODPANTRY,919-601-7603
JOHNSTON,R1123,R1123FP1,Faith Tabernacle Ministry,591 Guy Rd,Clayton,27520,3rd Saturday at 10am,FOODPANTRY,919-928-1363
HALIFAX,R1129,R1129FP,Fidelity Baptist Church,PO Box 273,Littleton,27850,Every Wednesday 1-2pm; every 4th Tuesday 10am-11am,FOODPANTRY,252-676-9156
WAYNE,R1130,R1130FP,First Assembly of God Church,3000 Summit Rd,Goldsboro,27534-8701,"2nd and 4th Saturdays, 10am -12pm",FOODPANTRY,919-778-7577
JOHNSTON,R1131,R1131FP,First Baptist Church of Smithfield,202 S Fourth St,Smithfield,27577,Thursday 5-7 pm,FOODPANTRY,919-934-1601
WAKE,R1133,R1133FP,First Cosmopolitan MBC,1515 Cross Link Rd,Raleigh,27610,"2nd, 3rd & 4th Tue from, 1pm - 4pm",FOODPANTRY,919-691-7528
JOHNSTON,R1134,R1134FP,First Missionary Baptist Church,40 Durant Rd,Wilson's Mill,27593,"Monday, Tuesday, & Wednesday by delivery, call for information ",FOODPANTRY,919-418-2843
WAKE,R1156,R1156FP,Fuquay-Varina Emergency,216 W Academy St,Fuquay-Varina,27526,"Tues 9-11:45, Thurs. 3:00pm-5:45pm",FOODPANTRY,919-552-7720
EDGECOMBE,R1161,R1161FP,Gibraltar the Remnant Church,809 W Country Club Dr,Tarboro,27886,First Saturday at 9am and by emergency appointment,FOODPANTRY,252-563-5471
HARNETT,R1162,R1162FP,Glad Tiding Church Inc,323 E Broad St,Dunn,28334,"2nd Tues 10am-2pm, 4th Tues 3pm-6pm",FOODPANTRY,910-658-7574
WILSON,R1163,R1163FP,Glad Tidings Gospel Church,4422 US Hwy 301 S,Wilson,27893,1st & 3rd Monday 9:15am; 2nd & 4th Wednesday at 9am,FOODPANTRY,252-292-2279
JOHNSTON,R1168,R1168FP,Good News Buenas Nuevas,2176-D US 70 A Hwy,Pine Level,27568,Wednesdays 1:30-5pm / 2nd & 4th Thursdays 1:30 - 5pm,FOODPANTRY,919-617-2108
NASH,R1170,R1170FP1,Greater Joy Missionary Baptist,820 Nashville Rd,Rocky Mount,27803,2nd & 4th Mondays 12pm-2pm,FOODPANTRY,410-215-8518
HALIFAX,R1170,R1170FP2,Greater Joy North,1711 E 10th St,Roanoke Rapids,27870,1st Friday of the month 10am and 10am-2pm M-F as needed,FOODPANTRY,252-904-7342
NASH,R1170,R1170FP3,Greater Joy Missionary Baptist Church,2355 Leggett Rd,Rocky Mount,27803,every Friday 1pm-2:30pm; Wednesday (as needed) 5-6pm,FOODPANTRY,
HARNETT,R1179,R1179FP,Harnett Food Pantry,413 W Old Rd,Lillington,27546,"Monday 4-6:30pm, Tuesday 1-4pm, Thursday 10am-1pm",FOODPANTRY,910-591-9963
JOHNSTON,R1181,R1181FP1,Harvest Word Ministry,15199 NC 96,Zebulon,27597,1st Friday 1-2pm,FOODPANTRY,919-618-1857
WAKE,R1183,R1183SH1,Healing Transitions,1251 Goode St,Raleigh,27603,24/7,SHELTER,919-838-9800 Ext 2540
WAKE,R1185,R1185FP,Hearts For Children Intl,14705 New Light Rd,Wake Forest,27587,3rd Sat 10am-11am,FOODPANTRY,919-614-2068
HALIFAX,R1188,R1188FP,Highway Restoration Ministries,740 Vance St,Roanoke Rapids,27870,Thursday's 2-3:30 and 7:30-9,FOODPANTRY,252-673-1093
WAKE,R1193,R1193FP,Holly Springs Food Cupboard,621 W Holly Springs Rd,Holly Springs,27540,Monday 1:00pm-4:00pm and Thursday 2:00pm – 5:00pm,FOODPANTRY,919-577-2210
WAYNE,R1195,R1195FP,House of Fordham/Goldsboro,412 N William St,Goldsboro,27530,Tuesday and Thursday from 9:30 a.m. - 12:30 p.m.,FOODPANTRY,919-736-7352
WAYNE,R1195,R1195SH,House of Fordham,500 N William St,Goldsboro,27530,Mon-Sat 9a.m.-2p..m.,SHELTER,919-736-7352
SAMPSON,R1197,R1197FP,Iglesia Bethel,4191 Beulah Rd,Clinton,28328,Wednesday 7-9pm; Saturday 6-8pm; Sunday 6-8pm,FOODPANTRY,919-902-8063
WAKE,R1198,R1198FP,Iglesia de Dios Pentecostal,2331 New Bern Ave,Raleigh,27610,4th Fridays 11am-1pm,FOODPANTRY,
LEE,R1199,R1199FP,Iglesia La Luz Del Evengelio,646 Oakwood Ave,Sanford,27330,2nd & 4th Wednesday 12:00 pm- 5:00 pm,FOODPANTRY,919-519-7321
JOHNSTON,R1200,R1200FP,Iglesia Pentecostal Jesucristo,1508 Bizzell Grove Church Rd,Selma,27576,1st and 3rd Wed 11 am- 3 pm,FOODPANTRY,919-538-0423
WAKE,R1211,R1211FP,Juniper Level,9104 Sauls Rd,Raleigh,27603,1st & 3rd Thursday 9:30 am -11:30am,FOODPANTRY,919-832-5435
JOHNSTON,R1212,R1212FP,Kenly Area Ministries,212 W 2nd St,Kenly,27542,Monday: 9:00 am-11:00am Tuesday2:00pm-3:00pm Wednesday:2:00pm-4:00pm Thursday:9:00am-11:00am Friday:9:00am-11:00am,FOODPANTRY,919-284-2449
WARREN,R1215,R1215FP,Lakeside Lutheran Church,2427 Eaton Ferry Rd,Littleton,27850,"Delivery only around noon every Tuesday, every Saturday, every 5th Friday",FOODPANTRY,252-586-1248
NASH,R1217,R1217FP,Lifeline Christian Center,2872 Old Franklin Rd,Spring Hope,27882,"1st Monday 8:30-9:15am for last names A-G, 2nd Monday 8:30-9:15am for last names H-M, 3rd Monday 8:30-9:15am for last names N-S, and 4th Monday 8:30-9:15am for last names T-Z",FOODPANTRY,252-315-9430
VANCE,R1218,R1218FP,Lifeline Outreach/Henderson,2014 Raleigh Rd,Henderson,27536,Tuesdays & Fridays 2:00pm-3:00pm Summer Hours 11-1,FOODPANTRY,252-438-2098
NASH,R1219,R1219DD,Light House Community Center,504 Second St,Spring Hope,27882,"First and third Saturday 11:00 am at the latest, may begin serving earlier. Notice sent out via facebook post), every Tuesday at 11",DIRECT DST,252-314-0405
WARREN,R1221,R1221FP,Loaves and Fishes Ministries,538 W Ridgeway St,Warrenton,27589,"Every Monday 9am-1pm, every Tuesday 7:30am-10am, Every Wednesday 12:30pm-4:30pm",FOODPANTRY,252-257-1160
WAKE,R1227,R1227FP,Macedonia New Life,2004 Rock Quarry Rd,Raleigh,27610,Every Thursday from 12-1pm and 1st/3rd/5th Saturday from 12-1pm,FOODPANTRY,919-633-4151
JOHNSTON,R1232,R1232FP,Milagros y Maravillas de Dios,711 W Noble St,Selma,27576,"Monday 1-3pm, Wednesday 5-6pm, Friday 11am-1pm ",FOODPANTRY,919-601-1697
WAKE,R1233,R1233FP,Millbrook United Methodist,1712 E Millbrook Rd,Raleigh,27609,Saturdays  10:00 am-12:00 pm,FOODPANTRY,919-876-0865
DUPLIN,R1240,R1240FP,Mt Zion Community Church,250 Lanefield Rd,Warsaw,28398,"Every 2nd Monday starts at 12 until finished, Every Wednesday 4-5, Every 4th Friday 12pm-2pm",FOODPANTRY,910-580-7763
SAMPSON,R1240,R1240FP2,Garland Christian Ministries,131 Rich Rd,Garland,28441,Wednesdays 1pm (while supplies last) & 4th Saturdays 10:00am (while supplies last) ,FOODPANTRY,910-580-7763
WAKE,R1244,R1244FP,NCA Philip Randolph Inst,1408 Hillsborough St,Raleigh,27605,Saturdays 9- 11 am,FOODPANTRY,919-833-6671
